Z,M,Symbol,Element,Abund or Min Range Abun,Max Range Abun,Mean Range Abun
1,1,H,hydrogen,0.99972,0.99999,0.999855
1,2,H,hydrogen,0.00001,0.00028,0.000145
2,3,He,helium,0.000002,,0.000002
2,4,He,helium,0.999998,,0.999998
3,6,Li,lithium,0.019,0.078,0.0485
3,7,Li,lithium,0.922,0.981,0.9515
4,9,Be,beryllium,1,,1
5,10,B,boron,0.189,0.204,0.1965
5,11,B,boron,0.796,0.811,0.8035
6,12,C,carbon,0.9884,0.9904,0.9894
6,13,C,carbon,0.0096,0.0116,0.0106
7,14,N,nitrogen,0.99578,0.99663,0.996205
7,15,N,nitrogen,0.00337,0.00422,0.003795
8,16,O,oxygen,0.99738,0.99776,0.99757
8,17,O,oxygen,0.000367,0.0004,0.0003835
8,18,O,oxygen,0.00187,0.00222,0.002045
9,19,F,fluorine,1,,1
10,20,Ne,neon,0.9048,,0.9048
10,21,Ne,neon,0.0027,,0.0027
10,22,Ne,neon,0.0925,,0.0925
11,23,Na,sodium,1,,1
12,24,Mg,magnesium,0.7888,0.7905,0.78965
12,25,Mg,magnesium,0.09988,0.10034,0.10011
12,26,Mg,magnesium,0.1096,0.1109,0.11025
13,27,Al,aluminium,1,,1
14,28,Si,silicon,0.92191,0.92318,0.922545
14,29,Si,silicon,0.04645,0.04699,0.04672
14,30,Si,silicon,0.03037,0.0311,0.030735
15,31,P,phosphorus,1,,1
16,32,S,sulfur,0.9441,0.9529,0.9485
16,33,S,sulfur,0.00729,0.00797,0.00763
16,34,S,sulfur,0.0396,0.0477,0.04365
16,36,S,sulfur,0.000129,0.000187,0.000158
17,35,Cl,chlorine,0.755,0.761,0.758
17,37,Cl,chlorine,0.239,0.245,0.242
18,36,Ar,argon,0,0.0207,0.01035
18,38,Ar,argon,0,0.043,0.0215
18,40,Ar,argon,0.936,1,0.968
19,39,K,potassium,0.932581,,0.932581
19,40,K,potassium,0.000117,,0.000117
19,41,K,potassium,0.067302,,0.067302
20,40,Ca,calcium,0.96941,,0.96941
20,42,Ca,calcium,0.00647,,0.00647
20,43,Ca,calcium,0.00135,,0.00135
20,44,Ca,calcium,0.02086,,0.02086
20,46,Ca,calcium,0.00004,,0.00004
20,48,Ca,calcium,0.00187,,0.00187
21,45,Sc,scandium,1,,1
22,46,Ti,titanium,0.0825,,0.0825
22,47,Ti,titanium,0.0744,,0.0744
22,48,Ti,titanium,0.7372,,0.7372
22,49,Ti,titanium,0.0541,,0.0541
22,50,Ti,titanium,0.0518,,0.0518
23,50,V,vanadium,0.0025,,0.0025
23,51,V,vanadium,0.9975,,0.9975
24,50,Cr,chromium,0.04345,,0.04345
24,52,Cr,chromium,0.83789,,0.83789
24,53,Cr,chromium,0.09501,,0.09501
24,54,Cr,chromium,0.02365,,0.02365
25,55,Mn,manganese,1,,1
26,54,Fe,iron,0.05845,,0.05845
26,56,Fe,iron,0.91754,,0.91754
26,57,Fe,iron,0.02119,,0.02119
26,58,Fe,iron,0.00282,,0.00282
27,59,Co,cobalt,1,,1
28,58,Ni,nickel,0.680769,,0.680769
28,60,Ni,nickel,0.262231,,0.262231
28,61,Ni,nickel,0.011399,,0.011399
28,62,Ni,nickel,0.036345,,0.036345
28,64,Ni,nickel,0.009256,,0.009256
29,63,Cu,copper,0.6915,,0.6915
29,65,Cu,copper,0.3085,,0.3085
30,64,Zn,zinc,0.4917,,0.4917
30,66,Zn,zinc,0.2773,,0.2773
30,67,Zn,zinc,0.0404,,0.0404
